Date,0-17,18-44,45-64,65-74,75+,All ages
2020-02-01,46.5568352590297,13.5620965410155,10.3110433219458,8.29616745670974,13.1633072809543,19.0861780827333
2020-02-02,53.2739905949096,13.7104783412455,9.63012536672296,11.1569148555752,12.4320124320124,20.5506820778526
2020-02-03,60.5123045344354,15.0755909033608,13.8615440884649,13.159438034781,17.7339000868413,24.1345495781038
2020-02-04,54.8374664058472,16.5890852657061,11.7215162291931,10.5847653758021,15.3571918277801,22.6819521195302
2020-02-05,48.8151892081618,14.0665946617973,10.8946872835654,9.86957852608572,14.6258969788382,20.1220467622079
2020-02-06,39.608053877085,13.0575984202338,10.2137693283425,6.86579375727703,12.4320124320124,17.2644779912435
2020-02-07,35.5545980709506,11.3660458976126,9.24102939230991,7.86705534687993,14.8087206910736,15.7523478499414
2020-02-08,38.9710822504067,10.3867260160951,8.7546594242936,8.72527956653956,12.249188719777,15.8476001423069
2020-02-09,46.4989287475135,10.2680205759111,7.63600849785608,7.72401797693666,9.14118561177385,16.7882165294161
2020-02-10,43.1982575910898,11.0692822971527,8.51147444028544,7.0088311272203,13.3461309931898,16.8596557486902
2020-02-11,41.866407826217,12.9685693400958,8.51147444028544,7.86705534687993,11.883541295306,17.3240106739719
2020-02-12,35.1492524903371,9.88222789531329,8.31692645307892,7.72401797693666,13.8946021298962,14.7760118531953
2020-02-13,32.9488050527213,10.2976969359571,8.21965245947565,5.72149479773086,12.9804835687189,14.2402177086394
2020-02-14,23.7416697216445,7.92358813227823,6.27417258741041,7.58098060699338,9.68965674848028,10.8587613296648
2020-02-15,29.1848818041679,7.00362097085266,6.85781654902998,5.14934531795777,9.68965674848028,11.5493404493146
2020-02-16,28.374190642941,8.27970445283006,6.90645354583161,6.72275638733375,12.6148361442479,12.2280130324186
2020-02-17,36.7127283012747,8.66549713342788,7.58737150105445,7.15186849716357,14.0774258421317,14.3950026837333
2020-02-18,26.9844343665521,9.22934797430161,8.41420044668218,8.15313008676647,11.883541295306,12.7638071769745
2020-02-19,24.147015302258,8.45776261310597,7.39282351384793,7.72401797693666,10.7865990218931,11.5136208396775
