"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","180970087","1","0.028","ppm","26","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/02/2018","AQS","180970087","1","0.019","ppm","18","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/03/2018","AQS","180970087","1","0.022","ppm","20","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/04/2018","AQS","180970087","1","0.017","ppm","16","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/05/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/06/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/07/2018","AQS","180970087","1","0.025","ppm","23","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/08/2018","AQS","180970087","1","0.012","ppm","11","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/09/2018","AQS","180970087","1","0.015","ppm","14","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/10/2018","AQS","180970087","1","0.024","ppm","22","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/11/2018","AQS","180970087","1","0.019","ppm","18","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/12/2018","AQS","180970087","1","0.03","ppm","28","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/13/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/14/2018","AQS","180970087","1","0.029","ppm","27","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/15/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/16/2018","AQS","180970087","1","0.015","ppm","14","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/17/2018","AQS","180970087","1","0.015","ppm","14","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/18/2018","AQS","180970087","1","0.024","ppm","22","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/19/2018","AQS","180970087","1","0.03","ppm","28","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/20/2018","AQS","180970087","1","0.025","ppm","23","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/21/2018","AQS","180970087","1","0.025","ppm","23","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/22/2018","AQS","180970087","1","0.03","ppm","28","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/23/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/24/2018","AQS","180970087","1","0.012","ppm","11","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/25/2018","AQS","180970087","1","0.017","ppm","16","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/26/2018","AQS","180970087","1","0.038","ppm","35","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/27/2018","AQS","180970087","1","0.022","ppm","20","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/28/2018","AQS","180970087","1","0.022","ppm","20","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/29/2018","AQS","180970087","1","0.025","ppm","23","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/30/2018","AQS","180970087","1","0.024","ppm","22","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/31/2018","AQS","180970087","1","0.026","ppm","24","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"02/01/2018","AQS","180970087","1","0.021","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"02/02/2018","AQS","180970087","1","0.02","ppm","19","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"02/03/2018","AQS","180970087","1","0.029","ppm","27","Indpls.- I 70","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
