M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56
0,161.21,0,17.6,4.3,80.1283,1.65844491425887,0,174,193,277,474,495,53,21,4,0,8064,1390,139,41960,21285,353,0,409630,1613,0,0,7912,7296,274,9,35,0,0,106,192,7459,274,9,35,0,9,126,7912,1409,932,881,644,7912,7720,3077,969,1661911395.55859,214149.792509033,13
0,284.7,0,8.1,3.5,121.9057,4.56350588727095,0,2227,2087,3193,4251,5592,129,102,10,3,82542,6423,1584,77760,14353,655,0,138383,17350,7,0,83075,71280,2649,293,1632,72,184,2272,4693,74452,3084,354,1632,202,984,2367,83075,11833,10570,10147,7507,83075,78382,33175,9843,503379724.203125,345594.514956039,235
4.98915401301518,203.77,10.1664797900696,16.5,4.5,108.3683,4.53667953667954,69,11634,12626,17812,25996,35142,1981,1937,179,50,678701,109959,14850,51372,7252,329,0,180646,103210,21,1,677692,264358,16622,27949,16782,379,1900,12075,337627,501468,19260,32867,17534,493,77556,28514,677692,125731,88881,101874,42072,677692,340065,257996,61138,4524289631.66797,322391.693852988,1383
6.77966101694915,240.09,16.2773663221291,7.6,2.3,145.3609,0,4,0,0,0,0,0,0,0,0,0,24574,1823,300,105532,0,0,0,277491,0,0,0,23865,13552,1099,23,4060,0,28,1064,4039,16461,1099,45,4060,0,969,1231,23865,4616,2924,3329,1561,23865,19826,9560,1875,26738291.2421875,28279.2304014556,59
8.23529411764706,361.44,29.7657014074925,13.7,4.1,102.1904,0,7,0,0,0,0,0,0,0,0,0,23517,3066,419,45720,0,0,0,148132,0,-1,0,23480,21189,1658,75,57,7,2,132,360,21346,1681,75,57,7,170,144,23480,4207,3589,2753,1755,23480,23120,8926,2250,2054299413.44141,182682.131260467,85
8.07174887892377,1955.22,157.820325942812,29.5,5.1,66.1834,4.33039114655675,144,1546,1898,2001,3031,4845,691,405,50,9,91243,25104,1966,38806,44638,1933,0,440756,13321,10,2,91049,23379,62701,175,834,6,69,1398,2487,24556,62847,194,849,38,1064,1501,91049,18450,14733,12205,5445,91049,88562,32340,7876,1196270165.00977,167047.978200994,1784
0.917431192660551,462.06,4.23908435777872,12.9,2.3,83.2352,2.2960229602296,3,1256,1015,1391,1999,2701,419,384,36,6,70770,8681,859,54311,2439,56,0,67340,8362,1,0,70400,59201,2792,1665,1891,110,318,1536,2887,60932,2822,1756,1891,110,1211,1678,70400,12579,16655,11336,3662,70400,67513,21468,4700,8297541148.1875,422023.521190711,327
0,360.82,0,19.4,5.5,90.976,3.89678778304371,0,655,909,910,1456,2101,80,90,16,2,28823,5128,663,40064,1899,74,0,88461,6031,68,0,29065,27879,568,110,165,0,3,74,266,28066,568,110,165,0,74,82,29065,4593,3469,3537,2474,29065,28799,11435,3557,4438532709.28516,410704.402681887,104
3.55239786856128,279.33,9.92289907419352,21.9,5.1,68.5063,4.33039114655675,20,2743,3448,4452,6573,9385,2824,1850,402,61,201554,41554,4460,40168,44638,1933,0,440756,26601,10,1,201463,70649,112216,451,3646,428,572,3742,9759,76073,113881,515,3762,436,2137,4659,201463,39401,30937,32781,10643,201463,191704,71743,15958,1224407649.07031,205054.321227858,563
11.4285714285714,449.29,51.3478818998716,11.6,2.9,94.1236,2.70020142631608,4,192,235,254,284,538,25,25,4,0,7790,885,114,56541,18369,496,0,139526,1503,0,0,7863,7352,5,0,10,0,109,186,201,7552,5,0,10,0,110,186,7863,1665,857,831,681,7863,7662,3007,822,1977999750.14063,179592.292841314,35
8.91304347826087,1547.1,137.893922577607,25.7,5.9,64.0618,4.33039114655675,41,693,480,784,1298,1583,76,54,9,3,29733,7208,757,37562,44638,1933,0,440756,4838,6,0,30352,12001,15936,18,359,0,13,381,1644,12924,15974,23,359,0,582,490,30352,5897,5395,3674,1957,30352,28708,10548,2881,1779537169.90625,210644.641635228,460
