"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/23/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/24/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/25/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/26/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/27/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/28/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/29/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/30/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"01/31/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/01/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/02/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/03/2020","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/04/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/05/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","21","88.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/06/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","1","4.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/07/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/08/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/09/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/10/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/11/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/12/2020","AQS","180970078","1","0.7","ppm","8","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/13/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/14/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/15/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/16/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/17/2020","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/18/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/19/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/20/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/21/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/22/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/23/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/24/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/25/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/26/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/27/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/28/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"02/29/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/01/2020","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/02/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","18","75.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/03/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/04/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/05/2020","AQS","180970078","1","0.6","ppm","7","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/06/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/07/2020","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","21","88.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/08/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","21","88.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/09/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","15","63.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/10/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/11/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/12/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
