train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12
0.220805174042584,0.04166666667,0.231182795698925,0.0972613399101075,0.00236712926071193,0.00230693178073163,0.00173616052369432,0.105371640474519,0.000697821826732798,0.00175472282902824,0.000995580791111458,24
0.527069253687959,0.1176470588,0.123655913978495,0.213339797321235,0.0201243932980782,0.0199384818191805,0.0128836392960486,0.212462421918597,0.00824847212132857,0.0156297829645627,0.0102188290175409,17
0.65482159726764,0.02739726027,0.145161290322581,0.161683680871219,0.0240169445335596,0.0197187740305394,0.017940325411508,0.146523014887221,0.000982854046765024,0.0185804204251575,0.011735341139984,73
0.854589056027905,0.04279279279,0.0806451612903226,0.177194977917993,0.0260715382200651,0.0379545204877513,0.0314501209620037,0.212993465464168,0.00111785645149683,0.041942393556036,0.0409882286933975,444
0.746566383257031,0.06862745098,0.166666666666667,0.310811247157035,0.0758067798831959,0.0467977589805559,0.0667994876903373,0.37594282731184,0.000916188713476295,0.0577523198963477,0.0331916735789762,2958
0.418138216699368,0.07043650794,0.139784946236559,0.308319943752391,0.0256796613852984,0.00631659892343184,0.0312603766424743,0.59555183525049,0.00105354773053582,0.0301647306837389,0.0216048319409652,1008
0.746675386963157,0.05742889647,0.225806451612903,0.14598956090209,0.2863881443459,0.374601779633088,0.373018357762914,0.177314539792263,0.000331812744488828,0.30159561851491,0.230592657821182,21975
0.273453964101446,0.01298701299,0.0645161290322581,0.24377617562643,0.0040326058084702,0.00126331978468637,0.00284616479294151,0.248159349066623,0.00155764893281263,0.00446606250037091,0.00266769086208457,154
0.800559552358113,0.07462686567,0.225806451612903,0.0992892190414166,0.0079679323322536,0.00582225639898934,0.00672643612731844,0.0712498424870839,0.00100621778605863,0.00602264675989836,0.00396680122797447,67
0.690756485720515,0.02597402597,0.17741935483871,0.206968282042105,0.034844611866003,0.0173569153026475,0.0271903609885679,0.212777447750716,0.000954498949858792,0.0258625393094478,0.0214713811456931,231
0.617905675459632,0.00455580866,0.236559139784946,0.169791104345956,0.0442013612200616,0.0405360870042843,0.0518571225273943,0.107648827203831,0.00750060677344627,0.0412043991739823,0.0137113593695519,439
0.12724365961776,0.07153144503,0.102150537634409,0.285904125294643,0.108476061361841,0.0661869713281336,0.110858118685072,0.451981062447121,0.00190217377962667,0.121863643525167,0.098146907935609,4166
0.693372574667539,0.1610169492,0.231182795698925,0.213568553365875,0.0167644633943571,0.0130726134241459,0.014401593852284,0.22011304927004,0.00150059435515469,0.0115952222377713,0.0105602169739568,118
0.36483540440375,0.1194968553,0.198924731182796,0.225249664710947,0.00919047766888477,0.00582225639898934,0.00733361794981263,0.183039009198754,0.00121062849585332,0.00711997070229307,0.00667490591245704,159
0.129387399171572,0.05267489712,0.0913978494623656,0.279355699277213,0.0473170580260584,0.0145556409974734,0.0471135145391585,0.442656297816421,0.00974652788392748,0.0564782984663692,0.0336732321934048,2430
0.292166266986411,0.05,0.193548387096774,0.214533148933829,0.00565254737190698,0.0028562012523344,0.00502822446753,0.294036110961099,0.000873458835124091,0.00420532362920176,0.00432267001536672,20
